scenario_as_of,code,name,illustrative_reference_value,illustrative_variation_unit,illustrative_variation_ratio,illustrative_activity_index,scenario_state,factor_trend,factor_momentum,factor_relative_strength,factor_volume_price,factor_structure,factor_risk_quality,technical_score,rule_eligible,scenario_context_available,scenario_up_score,scenario_pattern_score,illustrative_outcome_rows,ranking_value,selected_scenario_case,confirmation_reference,structural_reference,invalidation_reference,archetype
2026-08-26,US.KLAC,KLA Corporation,197.243,3.301,0.016736,75.409,ILLUSTRATIVE_NEUTRAL,50.712,63.616,84.114,89.351,86.958,87.603,76.715,True,True,0.566753,0.299479,3,0.13020885,False,198.398,194.767,191.961,Stable-hash illustrative trend scenario
2026-08-26,US.AMAT,"Applied Materials, Inc.",246.03,4.264,0.017331,20.541,ILLUSTRATIVE_NEUTRAL,53.227,42.65,42.19,69.589,88.088,86.483,79.61,True,True,0.513423,0.318117,3,0.13002589,False,247.522,242.832,239.208,Stable-hash illustrative trend scenario
2026-08-26,US.ALAB,"Astera Labs, Inc.",138.668,3.241,0.023372,78.894,ILLUSTRATIVE_NEUTRAL,62.144,60.738,85.382,66.943,40.861,62.332,71.668,True,True,0.568167,0.30933,2,0.1259573,False,139.802,136.237,133.482,Stable-hash illustrative trend scenario
2026-08-26,US.TMUS,"T-Mobile US, Inc.",451.656,10.942,0.024226,94.397,ILLUSTRATIVE_NEUTRAL,79.246,40.815,63.149,85.216,75.634,60.296,69.31,True,True,0.501941,0.359619,3,0.12510976,False,455.486,443.45,434.149,Stable-hash illustrative trend scenario
2026-08-26,US.ABNB,"Airbnb, Inc.",216.93,2.945,0.013576,50.19,ILLUSTRATIVE_NEUTRAL,56.696,60.928,50.123,84.145,43.04,65.008,68.131,True,True,0.571716,0.316887,3,0.1234325,False,217.961,214.721,212.218,Stable-hash illustrative trend scenario
2026-08-26,US.LRCX,Lam Research Corporation,190.918,6.575,0.034439,76.606,ILLUSTRATIVE_NEUTRAL,54.207,78.791,80.294,64.113,85.51,67.545,73.521,True,True,0.476393,0.345314,3,0.12094585,False,193.219,185.987,180.398,Stable-hash illustrative trend scenario
2026-08-26,US.DDOG,"Datadog, Inc.",178.911,6.536,0.036532,41.224,ILLUSTRATIVE_NEUTRAL,49.678,53.606,46.879,52.162,73.194,44.249,61.185,False,True,0.554433,0.354202,3,0.12015588,False,181.199,174.009,168.453,Stable-hash illustrative trend scenario
2026-08-26,US.QCOM,QUALCOMM Incorporated,499.078,16.182,0.032424,67.887,ILLUSTRATIVE_NEUTRAL,66.321,61.091,86.761,60.933,40.332,89.858,72.535,True,True,0.506303,0.3263,3,0.11983266,False,504.742,486.941,473.187,Stable-hash illustrative trend scenario
2026-08-26,US.ADI,"Analog Devices, Inc.",189.925,3.068,0.016154,66.787,ILLUSTRATIVE_NEUTRAL,60.524,40.648,70.757,58.354,51.809,70.485,60.6,False,True,0.574128,0.343105,3,0.11937363,False,190.999,187.624,185.016,Stable-hash illustrative trend scenario
2026-08-26,US.HONA,Honeywell Aerospace Inc.,437.399,11.205,0.025617,43.947,ILLUSTRATIVE_NEUTRAL,73.632,48.963,43.49,79.345,82.106,70.567,78.284,True,True,0.504658,0.3015,2,0.11911254,False,441.321,428.995,419.471,Stable-hash illustrative trend scenario
2026-08-26,US.AAPL,Apple Inc.,235.753,5.409,0.022944,49.177,ILLUSTRATIVE_NEUTRAL,41.192,89.438,48.695,82.56,62.191,66.15,78.924,True,True,0.5569,0.270813,3,0.11902983,False,237.646,231.696,227.099,Stable-hash illustrative trend scenario
2026-08-26,US.PANW,"Palo Alto Networks, Inc.",232.04,6.116,0.026358,53.969,ILLUSTRATIVE_NEUTRAL,64.529,68.243,76.908,46.486,80.995,41.774,70.14,True,True,0.473926,0.357619,3,0.11887674,False,234.181,227.453,222.254,Stable-hash illustrative trend scenario
2026-08-26,US.FER,Ferrovial N.V.,181.939,3.788,0.02082,85.559,ILLUSTRATIVE_NEUTRAL,73.103,73.038,40.512,56.279,87.001,62.86,79.086,True,True,0.477432,0.313552,2,0.11839155,False,183.265,179.098,175.878,Stable-hash illustrative trend scenario
2026-08-26,US.INTU,Intuit Inc.,238.742,8.402,0.035193,45.319,ILLUSTRATIVE_NEUTRAL,61.333,68.492,76.969,80.336,89.447,68.409,73.461,True,True,0.552069,0.291768,3,0.11832809,False,241.683,232.44,225.299,Stable-hash illustrative trend scenario
2026-08-26,US.ROST,"Ross Stores, Inc.",411.293,10.749,0.026135,47.45,ILLUSTRATIVE_NEUTRAL,69.104,89.007,68.791,66.783,62.139,52.795,65.804,True,True,0.555952,0.323227,3,0.11824893,False,415.055,403.231,394.095,Stable-hash illustrative trend scenario
2026-08-26,US.CPRT,"Copart, Inc.",253.011,3.659,0.014462,27.816,ILLUSTRATIVE_NEUTRAL,67.705,84.066,67.023,81.648,69.668,41.066,61.322,False,True,0.554483,0.343725,3,0.1168734,False,254.292,250.267,247.157,Stable-hash illustrative trend scenario
2026-08-26,US.CEG,Constellation Energy Corporation,183.845,5.215,0.028366,56.97,ILLUSTRATIVE_NEUTRAL,75.225,57.283,53.305,54.939,48.31,66.478,59.096,False,True,0.575878,0.336887,3,0.11464967,False,185.67,179.934,175.501,Stable-hash illustrative trend scenario
2026-08-26,US.MRVL,"Marvell Technology, Inc.",73.932,2.055,0.027796,56.58,ILLUSTRATIVE_NEUTRAL,72.967,84.903,79.851,63.649,57.787,83.272,66.231,True,True,0.502582,0.344108,3,0.11454154,False,74.651,72.391,70.644,Stable-hash illustrative trend scenario
2026-08-26,US.AXON,"Axon Enterprise, Inc.",39.281,0.931,0.023701,47.217,ILLUSTRATIVE_NEUTRAL,89.16,66.438,77.617,50.677,50.229,56.108,78.882,True,True,0.488854,0.291921,3,0.11256994,False,39.607,38.583,37.791,Stable-hash illustrative trend scenario
2026-08-26,US.AMGN,Amgen Inc.,481.28,17.774,0.036931,33.032,ILLUSTRATIVE_NEUTRAL,79.381,49.556,69.879,62.529,47.91,79.295,70.476,True,True,0.559756,0.284478,3,0.11222476,False,487.501,467.949,452.842,Stable-hash illustrative trend scenario
2026-08-26,US.ADSK,"Autodesk, Inc.",202.528,7.243,0.035763,35.048,ILLUSTRATIVE_NEUTRAL,79.373,45.4,56.22,64.043,59.552,78.825,71.983,True,True,0.472168,0.329486,3,0.11198593,False,205.063,197.096,190.939,Stable-hash illustrative trend scenario
2026-08-26,US.HON,Honeywell International Inc.,250.595,5.557,0.022175,90.887,ILLUSTRATIVE_NEUTRAL,88.281,73.238,85.16,70.935,48.136,76.15,78.951,True,True,0.519734,0.272853,3,0.11196119,False,252.54,246.427,241.704,Stable-hash illustrative trend scenario
2026-08-26,US.EXC,Exelon Corporation,345.023,12.35,0.035795,86.849,ILLUSTRATIVE_NEUTRAL,84.045,41.407,47.76,62.648,81.057,65.872,67.238,True,True,0.537474,0.30924,3,0.11175524,False,349.346,335.761,325.263,Stable-hash illustrative trend scenario
2026-08-26,US.FAST,Fastenal Company,403.142,9.479,0.023513,24.92,ILLUSTRATIVE_NEUTRAL,56.083,50.566,51.074,61.162,47.349,83.157,79.519,True,True,0.493586,0.284193,3,0.11154423,False,406.46,396.033,387.976,Stable-hash illustrative trend scenario
2026-08-26,US.NVDA,NVIDIA Corporation,256.462,9.24,0.036029,47.37,ILLUSTRATIVE_NEUTRAL,42.311,85.868,48.087,42.391,45.088,73.38,55.555,False,True,0.561829,0.35461,3,0.11068233,False,259.696,249.532,241.678,Stable-hash illustrative trend scenario
2026-08-26,US.CTAS,Cintas Corporation,86.424,1.553,0.01797,67.931,ILLUSTRATIVE_NEUTRAL,73.44,52.378,68.289,45.844,80.833,85.519,56.872,False,True,0.543848,0.353714,3,0.10940276,False,86.968,85.259,83.939,Stable-hash illustrative trend scenario
2026-08-26,US.TXN,Texas Instruments Incorporated,282.153,4.928,0.017466,44.909,ILLUSTRATIVE_NEUTRAL,48.139,89.081,85.954,40.491,42.132,79.527,71.38,True,True,0.531127,0.286805,3,0.10873307,False,283.878,278.457,274.268,Stable-hash illustrative trend scenario
2026-08-26,US.GEHC,GE HealthCare Technologies Inc.,143.456,2.386,0.016632,44.132,ILLUSTRATIVE_NEUTRAL,49.175,87.952,47.794,71.299,60.401,63.181,67.738,True,True,0.470509,0.341119,3,0.10871919,False,144.291,141.666,139.638,Stable-hash illustrative trend scenario
2026-08-26,US.ADP,"Automatic Data Processing, Inc.",192.888,5.086,0.026368,71.527,ILLUSTRATIVE_NEUTRAL,44.837,48.364,59.494,72.755,43.153,81.393,65.159,True,True,0.491129,0.33237,3,0.1063633,False,194.668,189.073,184.75,Stable-hash illustrative trend scenario
2026-08-26,US.GILD,"Gilead Sciences, Inc.",216.325,5.465,0.025263,43.319,ILLUSTRATIVE_NEUTRAL,68.233,68.7,42.089,81.428,85.055,54.762,58.644,False,True,0.549314,0.330064,3,0.10632672,False,218.238,212.226,207.581,Stable-hash illustrative trend scenario
2026-08-26,US.SBUX,Starbucks Corporation,362.874,9.087,0.025042,73.0,ILLUSTRATIVE_NEUTRAL,87.565,44.268,73.133,75.359,44.603,49.575,69.328,True,True,0.579288,0.264294,3,0.10614279,False,366.054,356.059,348.335,Stable-hash illustrative trend scenario
2026-08-26,US.META,"Meta Platforms, Inc.",396.795,5.899,0.014867,80.821,ILLUSTRATIVE_NEUTRAL,48.864,55.981,76.436,75.111,77.414,56.74,75.832,True,True,0.489494,0.285233,3,0.10587652,False,398.86,392.371,387.357,Stable-hash illustrative trend scenario
2026-08-26,US.ISRG,"Intuitive Surgical, Inc.",225.305,4.69,0.020816,99.057,ILLUSTRATIVE_NEUTRAL,62.09,72.544,84.005,86.015,40.902,43.28,57.827,False,True,0.581789,0.31449,3,0.10580422,False,226.947,221.787,217.801,Stable-hash illustrative trend scenario
2026-08-26,US.NBIS,Nebius Group N.V. Class A,477.796,16.521,0.034578,29.595,ILLUSTRATIVE_NEUTRAL,62.785,68.566,72.708,84.065,89.218,86.919,64.979,True,True,0.516961,0.314947,3,0.10579576,False,483.578,465.405,451.362,Stable-hash illustrative trend scenario
2026-08-26,US.CMCSA,Comcast Corporation,148.821,4.17,0.02802,77.366,ILLUSTRATIVE_NEUTRAL,77.146,59.418,87.605,85.292,73.874,62.58,72.293,True,True,0.518874,0.278821,3,0.10458843,False,150.28,145.694,142.149,Stable-hash illustrative trend scenario
2026-08-26,US.MDLZ,"Mondelez International, Inc.",40.929,0.649,0.015857,86.13,ILLUSTRATIVE_NEUTRAL,54.372,75.656,59.177,47.915,74.346,60.924,71.717,True,True,0.503494,0.288486,3,0.10416964,False,41.156,40.442,39.891,Stable-hash illustrative trend scenario
2026-08-26,US.KHC,The Kraft Heinz Company,493.541,17.955,0.03638,31.927,ILLUSTRATIVE_NEUTRAL,50.155,80.326,86.332,85.067,61.771,81.171,68.394,True,True,0.578617,0.263221,3,0.1041669,False,499.825,480.075,464.813,Stable-hash illustrative trend scenario
2026-08-26,US.IDXX,"IDEXX Laboratories, Inc.",278.071,6.952,0.025001,61.747,ILLUSTRATIVE_NEUTRAL,78.184,87.004,52.933,61.301,87.169,72.164,70.13,True,True,0.541895,0.271913,3,0.10333536,False,280.504,272.857,266.948,Stable-hash illustrative trend scenario
2026-08-26,US.GOOGL,Alphabet Inc.,292.242,8.663,0.029643,97.009,ILLUSTRATIVE_NEUTRAL,40.019,64.055,45.774,41.631,77.472,40.689,59.167,False,True,0.531083,0.327669,3,0.10296208,False,295.274,285.745,278.381,Stable-hash illustrative trend scenario
2026-08-26,US.PLTR,Palantir Technologies Inc.,140.026,4.409,0.031487,53.356,ILLUSTRATIVE_NEUTRAL,47.908,57.742,64.286,42.539,73.344,81.453,60.81,False,True,0.51272,0.329265,3,0.1026599,False,141.569,136.719,132.972,Stable-hash illustrative trend scenario
2026-08-26,US.INTC,Intel Corporation,106.139,3.127,0.029461,58.032,ILLUSTRATIVE_NEUTRAL,84.789,71.673,59.085,45.543,61.186,65.081,78.101,True,True,0.535507,0.244592,3,0.10229726,False,107.233,103.794,101.136,Stable-hash illustrative trend scenario
2026-08-26,US.TER,"Teradyne, Inc.",441.642,10.298,0.023318,42.391,ILLUSTRATIVE_NEUTRAL,75.495,75.52,64.325,51.532,72.891,49.021,67.142,True,True,0.550255,0.27648,3,0.10214615,False,445.246,433.918,425.165,Stable-hash illustrative trend scenario
2026-08-26,US.AMD,"Advanced Micro Devices, Inc.",367.166,9.832,0.026778,92.934,ILLUSTRATIVE_NEUTRAL,49.646,55.576,87.571,80.729,75.618,73.309,68.406,True,True,0.544443,0.273625,3,0.10190662,False,370.607,359.792,351.435,Stable-hash illustrative trend scenario
2026-08-26,US.DXCM,"DexCom, Inc.",227.619,6.272,0.027555,60.338,ILLUSTRATIVE_NEUTRAL,41.812,71.71,57.976,66.107,75.659,73.327,62.876,True,True,0.549084,0.294524,3,0.10168207,False,229.814,222.915,217.584,Stable-hash illustrative trend scenario
2026-08-26,US.APP,Applovin Corporation,76.329,1.229,0.016101,27.22,ILLUSTRATIVE_NEUTRAL,65.652,86.499,81.62,59.351,69.728,43.382,55.999,False,True,0.548115,0.330981,3,0.10159095,False,76.759,75.407,74.363,Stable-hash illustrative trend scenario
2026-08-26,US.PYPL,"PayPal Holdings, Inc.",277.12,9.038,0.032614,76.42,ILLUSTRATIVE_NEUTRAL,85.529,73.688,45.739,55.617,57.77,67.525,66.078,True,True,0.564779,0.272163,3,0.10156978,False,280.283,270.341,262.659,Stable-hash illustrative trend scenario
2026-08-26,US.TTWO,"Take-Two Interactive Software, Inc.",160.796,5.876,0.036543,48.223,ILLUSTRATIVE_NEUTRAL,74.643,53.07,89.855,55.587,59.396,64.222,59.849,False,True,0.473887,0.357183,3,0.10130304,False,162.853,156.389,151.394,Stable-hash illustrative trend scenario
2026-08-26,US.FTNT,"Fortinet, Inc.",141.037,4.628,0.032814,75.7,ILLUSTRATIVE_NEUTRAL,69.755,72.689,42.943,75.534,56.63,67.682,58.891,False,True,0.536134,0.320238,3,0.10111024,False,142.657,137.566,133.632,Stable-hash illustrative trend scenario
2026-08-26,US.MPWR,"Monolithic Power Systems, Inc.",238.189,7.808,0.032781,75.753,ILLUSTRATIVE_NEUTRAL,46.277,78.558,47.352,63.826,45.143,73.327,59.803,False,True,0.572713,0.294571,3,0.10089044,False,240.922,232.333,225.696,Stable-hash illustrative trend scenario
2026-08-26,US.STX,Seagate Technology Holdings PLC,83.163,1.122,0.013492,66.359,ILLUSTRATIVE_NEUTRAL,84.285,64.19,57.215,49.762,63.68,75.608,72.074,True,True,0.49852,0.278949,3,0.1002273,False,83.556,82.322,81.368,Stable-hash illustrative trend scenario
2026-08-26,US.SNPS,"Synopsys, Inc.",377.706,13.579,0.035951,32.367,ILLUSTRATIVE_NEUTRAL,49.422,71.44,43.244,66.965,85.176,46.001,68.327,True,True,0.54874,0.26378,3,0.09890103,False,382.459,367.522,355.98,Stable-hash illustrative trend scenario
2026-08-26,US.PDD,PDD Holdings Inc.,90.171,1.49,0.016524,45.613,ILLUSTRATIVE_NEUTRAL,78.996,57.754,69.583,49.919,70.986,53.338,55.803,False,True,0.586943,0.30113,3,0.09862965,False,90.693,89.053,87.787,Stable-hash illustrative trend scenario
2026-08-26,US.SHOP,Shopify Inc.,78.046,2.222,0.02847,87.39,ILLUSTRATIVE_NEUTRAL,58.095,64.788,61.457,49.381,53.542,79.905,62.752,True,True,0.52482,0.297987,3,0.09813756,False,78.824,76.38,74.491,Stable-hash illustrative trend scenario
2026-08-26,US.ARM,Arm Holdings plc,260.726,6.433,0.024673,37.162,ILLUSTRATIVE_NEUTRAL,44.752,67.67,53.171,85.767,78.833,86.976,62.165,True,True,0.488129,0.322447,3,0.09784506,False,262.978,255.901,250.433,Stable-hash illustrative trend scenario
2026-08-26,US.WBD,"Warner Bros. Discovery, Inc.",261.364,7.749,0.029648,77.108,ILLUSTRATIVE_NEUTRAL,45.57,68.853,88.616,87.694,65.298,85.623,71.213,True,True,0.586104,0.233268,3,0.09736192,False,264.076,255.552,248.966,Stable-hash illustrative trend scenario
2026-08-26,US.MSFT,Microsoft Corporation,410.94,12.706,0.030919,42.8,ILLUSTRATIVE_NEUTRAL,81.104,71.79,73.771,76.473,63.068,47.767,58.559,False,True,0.51259,0.322496,3,0.09680284,False,415.387,401.411,390.61,Stable-hash illustrative trend scenario
2026-08-26,US.CRWV,"CoreWeave, Inc.",283.922,10.496,0.036968,74.848,ILLUSTRATIVE_NEUTRAL,40.705,59.85,61.313,66.065,79.494,61.28,75.39,True,True,0.521042,0.245292,2,0.09635402,False,287.596,276.05,267.128,Stable-hash illustrative trend scenario
2026-08-26,US.NFLX,"Netflix, Inc.",53.191,1.617,0.0304,76.754,ILLUSTRATIVE_NEUTRAL,88.091,58.289,56.097,78.782,48.957,47.118,58.086,False,True,0.545987,0.303631,3,0.09629415,False,53.757,51.978,50.604,Stable-hash illustrative trend scenario
2026-08-26,US.WDAY,"Workday, Inc.",137.646,2.197,0.015961,71.219,ILLUSTRATIVE_NEUTRAL,60.371,42.155,49.78,80.545,63.199,63.717,56.226,False,True,0.479304,0.351105,3,0.0946205,False,138.415,135.998,134.131,Stable-hash illustrative trend scenario
2026-08-26,US.DASH,"DoorDash, Inc.",234.208,8.145,0.034777,79.257,ILLUSTRATIVE_NEUTRAL,61.806,75.964,79.919,63.176,62.29,45.299,60.54,False,True,0.554414,0.280642,3,0.09419531,False,237.059,228.099,221.176,Stable-hash illustrative trend scenario
2026-08-26,US.KDP,Keurig Dr Pepper Inc.,53.997,1.782,0.033002,59.831,ILLUSTRATIVE_NEUTRAL,41.401,51.931,57.544,64.278,56.17,89.598,69.857,True,True,0.481226,0.277082,3,0.09314667,False,54.621,52.66,51.146,Stable-hash illustrative trend scenario
2026-08-26,US.PAYX,"Paychex, Inc.",48.022,1.06,0.022073,82.196,ILLUSTRATIVE_NEUTRAL,48.498,68.48,63.586,86.328,80.251,42.709,59.532,False,True,0.545463,0.285797,3,0.09280544,False,48.393,47.227,46.326,Stable-hash illustrative trend scenario
2026-08-26,US.ASML,ASML Holding N.V.,242.108,3.09,0.012763,88.35,ILLUSTRATIVE_NEUTRAL,64.98,43.631,60.849,71.558,72.117,84.442,55.06,False,True,0.491977,0.33791,3,0.09153392,False,243.19,239.791,237.164,Stable-hash illustrative trend scenario
2026-08-26,US.FANG,"Diamondback Energy, Inc.",149.28,4.136,0.027706,70.272,ILLUSTRATIVE_NEUTRAL,45.499,65.859,86.779,87.234,56.93,55.677,73.186,True,True,0.506131,0.244387,3,0.09052511,False,150.728,146.178,142.662,Stable-hash illustrative trend scenario
2026-08-26,US.TSLA,"Tesla, Inc.",269.402,3.86,0.014328,76.777,ILLUSTRATIVE_NEUTRAL,43.503,63.447,40.135,65.246,67.111,42.503,69.063,True,True,0.501287,0.260508,3,0.09018887,False,270.753,266.507,263.226,Stable-hash illustrative trend scenario
2026-08-26,US.REGN,"Regeneron Pharmaceuticals, Inc.",426.573,6.332,0.014844,44.185,ILLUSTRATIVE_NEUTRAL,74.753,49.753,53.562,45.156,86.717,44.503,56.519,False,True,0.49407,0.322634,3,0.09009342,False,428.789,421.824,416.442,Stable-hash illustrative trend scenario
2026-08-26,US.SPCX,Space Exploration Technologies Corp.,309.985,7.848,0.025317,80.761,ILLUSTRATIVE_NEUTRAL,54.446,69.846,83.164,61.835,48.325,67.175,66.696,True,True,0.572515,0.234533,2,0.08955516,False,312.732,304.099,297.428,Stable-hash illustrative trend scenario
2026-08-26,US.BKR,Baker Hughes Company,360.871,9.523,0.026389,34.438,ILLUSTRATIVE_NEUTRAL,54.928,52.182,40.388,77.941,45.999,46.78,55.223,False,True,0.511952,0.316594,3,0.08950595,False,364.204,353.729,345.634,Stable-hash illustrative trend scenario
2026-08-26,US.MCHP,Microchip Technology Incorporated,293.514,5.581,0.019014,63.294,ILLUSTRATIVE_NEUTRAL,59.047,81.455,88.368,45.932,43.488,59.224,70.97,True,True,0.471511,0.263497,3,0.08817436,False,295.467,289.328,284.584,Stable-hash illustrative trend scenario
2026-08-26,US.SNDK,Sandisk Corporation,293.839,7.105,0.02418,49.469,ILLUSTRATIVE_NEUTRAL,58.863,63.247,80.406,51.071,89.927,79.515,61.921,False,True,0.563915,0.251381,2,0.08777767,False,296.326,288.51,282.471,Stable-hash illustrative trend scenario
2026-08-26,US.LITE,Lumentum Holdings Inc.,92.196,1.811,0.019643,38.83,ILLUSTRATIVE_NEUTRAL,75.033,47.785,89.936,83.263,49.744,53.178,63.703,True,True,0.56413,0.243609,3,0.08754521,False,92.83,90.838,89.298,Stable-hash illustrative trend scenario
2026-08-26,US.CCEP,Coca-Cola Europacific Partners plc,332.313,9.307,0.028007,26.264,ILLUSTRATIVE_NEUTRAL,59.337,60.025,89.248,43.352,41.972,81.799,64.653,True,True,0.564541,0.239623,3,0.08746064,False,335.57,325.333,317.422,Stable-hash illustrative trend scenario
2026-08-26,US.ADBE,Adobe Inc.,481.4,13.224,0.02747,44.051,ILLUSTRATIVE_NEUTRAL,47.818,55.378,52.832,57.389,82.527,58.845,64.049,True,True,0.502007,0.270876,3,0.08709489,False,486.028,471.482,460.242,Stable-hash illustrative trend scenario
2026-08-26,US.LIN,Linde plc,249.49,7.482,0.029989,54.426,ILLUSTRATIVE_NEUTRAL,57.481,87.861,55.914,86.121,55.466,46.142,71.223,True,True,0.504238,0.239701,3,0.08608464,False,252.109,243.879,237.519,Stable-hash illustrative trend scenario
2026-08-26,US.CRWD,"CrowdStrike Holdings, Inc.",219.701,5.206,0.023696,35.538,ILLUSTRATIVE_NEUTRAL,77.885,79.081,75.836,60.191,60.198,68.73,55.09,False,True,0.525567,0.29729,3,0.08607582,False,221.523,215.796,211.371,Stable-hash illustrative trend scenario
2026-08-26,US.VRTX,Vertex Pharmaceuticals Incorporated,393.044,11.939,0.030376,80.077,ILLUSTRATIVE_NEUTRAL,55.744,62.317,70.334,71.771,47.175,54.044,65.617,True,True,0.530101,0.241318,3,0.08393918,False,397.223,384.09,373.942,Stable-hash illustrative trend scenario
2026-08-26,US.XEL,Xcel Energy Inc.,292.577,4.142,0.014157,95.885,ILLUSTRATIVE_NEUTRAL,60.982,85.323,50.225,48.144,69.687,60.753,55.105,False,True,0.494017,0.304832,3,0.08298383,False,294.027,289.471,285.95,Stable-hash illustrative trend scenario
2026-08-26,US.CDNS,"Cadence Design Systems, Inc.",490.206,11.839,0.024151,98.737,ILLUSTRATIVE_NEUTRAL,50.596,42.581,47.308,71.071,58.051,78.073,68.903,True,True,0.518597,0.231354,3,0.08266947,False,494.35,481.327,471.264,Stable-hash illustrative trend scenario
2026-08-26,US.TRI,Thomson Reuters Corporation,100.373,1.506,0.015004,80.324,ILLUSTRATIVE_NEUTRAL,66.215,73.564,78.654,60.857,71.625,88.691,56.83,False,True,0.474632,0.300012,3,0.08092325,False,100.9,99.244,97.963,Stable-hash illustrative trend scenario
2026-08-26,US.WDC,Western Digital Corporation,348.75,8.22,0.02357,49.96,ILLUSTRATIVE_NEUTRAL,56.594,59.408,87.363,48.708,79.212,86.914,58.119,False,True,0.553178,0.251591,3,0.08088689,False,351.627,342.585,335.598,Stable-hash illustrative trend scenario
2026-08-26,US.AVGO,Broadcom Inc.,463.089,12.955,0.027975,81.168,ILLUSTRATIVE_NEUTRAL,85.527,55.568,55.687,67.389,73.092,75.593,69.439,True,True,0.493131,0.236169,3,0.08087023,False,467.623,453.373,442.361,Stable-hash illustrative trend scenario
2026-08-26,US.ODFL,"Old Dominion Freight Line, Inc.",443.563,15.908,0.035864,66.837,ILLUSTRATIVE_NEUTRAL,55.945,58.742,78.265,61.903,88.13,66.921,56.114,False,True,0.496025,0.289696,3,0.08063383,False,449.131,431.632,418.11,Stable-hash illustrative trend scenario
2026-08-26,US.MELI,"MercadoLibre, Inc.",299.362,7.395,0.024703,80.591,ILLUSTRATIVE_NEUTRAL,82.522,47.438,48.607,53.536,52.916,78.669,58.822,False,True,0.576023,0.232032,3,0.078619,False,301.95,293.816,287.53,Stable-hash illustrative trend scenario
