sample_id,code,scenario_up_score,illustrative_outcome_up,selected_scenario_case,generation_method
SYNTH-109,US.PCAR,0.699108,0,True,stable-sha256-v1
SYNTH-110,US.CTAS,0.656892,0,True,stable-sha256-v1
SYNTH-111,US.PAYX,0.46075,0,False,stable-sha256-v1
SYNTH-112,US.LRCX,0.610386,0,True,stable-sha256-v1
SYNTH-113,US.ADSK,0.404758,0,False,stable-sha256-v1
SYNTH-114,US.ROST,0.541244,1,False,stable-sha256-v1
SYNTH-115,US.MNST,0.574443,0,True,stable-sha256-v1
SYNTH-116,US.MSFT,0.461443,1,False,stable-sha256-v1
SYNTH-117,US.ADBE,0.61654,1,True,stable-sha256-v1
SYNTH-118,US.FAST,0.613058,1,True,stable-sha256-v1
SYNTH-119,US.CSCO,0.55342,1,False,stable-sha256-v1
SYNTH-120,US.REGN,0.652403,1,True,stable-sha256-v1
SYNTH-121,US.IDXX,0.71894,1,True,stable-sha256-v1
SYNTH-122,US.VRTX,0.432111,1,False,stable-sha256-v1
SYNTH-123,US.ODFL,0.37693,1,False,stable-sha256-v1
SYNTH-124,US.QCOM,0.434117,1,False,stable-sha256-v1
SYNTH-125,US.GILD,0.706021,0,True,stable-sha256-v1
SYNTH-126,US.SNPS,0.381297,1,False,stable-sha256-v1
SYNTH-127,US.SBUX,0.543184,0,False,stable-sha256-v1
SYNTH-128,US.INTU,0.688861,1,True,stable-sha256-v1
SYNTH-129,US.MCHP,0.544976,0,False,stable-sha256-v1
SYNTH-130,US.ORLY,0.421392,0,False,stable-sha256-v1
SYNTH-131,US.COST,0.714507,1,True,stable-sha256-v1
SYNTH-132,US.CPRT,0.465596,0,False,stable-sha256-v1
SYNTH-133,US.ASML,0.391305,1,False,stable-sha256-v1
SYNTH-134,US.TTWO,0.705233,1,True,stable-sha256-v1
SYNTH-135,US.AMZN,0.397714,0,False,stable-sha256-v1
SYNTH-136,US.MSTR,0.343188,0,False,stable-sha256-v1
SYNTH-137,US.NVDA,0.485382,0,False,stable-sha256-v1
SYNTH-138,US.BKNG,0.377096,0,False,stable-sha256-v1
SYNTH-139,US.ISRG,0.386773,0,False,stable-sha256-v1
SYNTH-140,US.MRVL,0.390969,0,False,stable-sha256-v1
SYNTH-141,US.ADI,0.597849,0,True,stable-sha256-v1
SYNTH-142,US.AEP,0.527565,0,False,stable-sha256-v1
SYNTH-143,US.AMD,0.382648,1,False,stable-sha256-v1
SYNTH-144,US.ADP,0.412157,1,False,stable-sha256-v1
SYNTH-145,US.CDNS,0.610666,1,True,stable-sha256-v1
SYNTH-146,US.CSX,0.534123,0,False,stable-sha256-v1
SYNTH-147,US.HON,0.520034,0,False,stable-sha256-v1
SYNTH-148,US.MAR,0.486882,1,False,stable-sha256-v1
SYNTH-149,US.MU,0.389756,0,False,stable-sha256-v1
SYNTH-150,US.XEL,0.61445,0,True,stable-sha256-v1
SYNTH-151,US.EXC,0.533838,0,False,stable-sha256-v1
SYNTH-152,US.PEP,0.479797,0,False,stable-sha256-v1
SYNTH-153,US.ROP,0.485348,1,False,stable-sha256-v1
SYNTH-154,US.TER,0.592933,1,True,stable-sha256-v1
SYNTH-155,US.TXN,0.687989,0,True,stable-sha256-v1
SYNTH-156,US.WDC,0.476713,0,False,stable-sha256-v1
SYNTH-157,US.WMT,0.648289,1,True,stable-sha256-v1
SYNTH-158,US.AXON,0.376099,1,False,stable-sha256-v1
SYNTH-159,US.MDLZ,0.553246,0,False,stable-sha256-v1
SYNTH-160,US.NFLX,0.356957,1,False,stable-sha256-v1
SYNTH-161,US.STX,0.525013,1,False,stable-sha256-v1
SYNTH-162,US.ALNY,0.425169,0,False,stable-sha256-v1
SYNTH-163,US.GOOGL,0.716057,1,True,stable-sha256-v1
SYNTH-164,US.MPWR,0.479828,1,False,stable-sha256-v1
SYNTH-165,US.DXCM,0.377034,0,False,stable-sha256-v1
SYNTH-166,US.TMUS,0.38679,0,False,stable-sha256-v1
SYNTH-167,US.MELI,0.322159,0,False,stable-sha256-v1
SYNTH-168,US.KDP,0.445869,0,False,stable-sha256-v1
SYNTH-169,US.NBIS,0.448546,1,False,stable-sha256-v1
SYNTH-170,US.AVGO,0.705842,0,True,stable-sha256-v1
SYNTH-171,US.FTNT,0.668109,0,True,stable-sha256-v1
SYNTH-172,US.TSLA,0.479244,1,False,stable-sha256-v1
SYNTH-173,US.NXPI,0.328675,0,False,stable-sha256-v1
SYNTH-174,US.FANG,0.386231,1,False,stable-sha256-v1
SYNTH-175,US.META,0.551677,0,False,stable-sha256-v1
SYNTH-176,US.PANW,0.332517,1,False,stable-sha256-v1
SYNTH-177,US.WDAY,0.461671,0,False,stable-sha256-v1
SYNTH-178,US.GOOG,0.65497,1,True,stable-sha256-v1
SYNTH-179,US.PYPL,0.60793,0,True,stable-sha256-v1
SYNTH-180,US.SHOP,0.436486,1,False,stable-sha256-v1
SYNTH-181,US.KHC,0.641352,0,True,stable-sha256-v1
SYNTH-182,US.LITE,0.332021,0,False,stable-sha256-v1
SYNTH-183,US.CCEP,0.582992,1,True,stable-sha256-v1
SYNTH-184,US.BKR,0.678697,1,True,stable-sha256-v1
SYNTH-185,US.PDD,0.390274,0,False,stable-sha256-v1
SYNTH-186,US.CRWD,0.537799,1,False,stable-sha256-v1
SYNTH-187,US.DDOG,0.630682,0,True,stable-sha256-v1
SYNTH-188,US.RKLB,0.690225,0,True,stable-sha256-v1
SYNTH-189,US.PLTR,0.321813,1,False,stable-sha256-v1
SYNTH-190,US.ABNB,0.411677,1,False,stable-sha256-v1
SYNTH-191,US.DASH,0.49833,1,False,stable-sha256-v1
SYNTH-192,US.APP,0.454162,0,False,stable-sha256-v1
SYNTH-193,US.CEG,0.353094,0,False,stable-sha256-v1
SYNTH-194,US.WBD,0.694404,0,True,stable-sha256-v1
SYNTH-195,US.GEHC,0.478795,0,False,stable-sha256-v1
SYNTH-196,US.LIN,0.583595,1,True,stable-sha256-v1
SYNTH-197,US.ARM,0.587886,1,True,stable-sha256-v1
SYNTH-198,US.TRI,0.456351,0,False,stable-sha256-v1
SYNTH-199,US.FER,0.617362,1,True,stable-sha256-v1
SYNTH-200,US.ALAB,0.41614,0,False,stable-sha256-v1
SYNTH-201,US.SNDK,0.602521,0,True,stable-sha256-v1
SYNTH-202,US.CRWV,0.647824,0,True,stable-sha256-v1
SYNTH-203,US.SPCX,0.470131,1,False,stable-sha256-v1
SYNTH-204,US.HONA,0.504122,0,False,stable-sha256-v1
SYNTH-205,US.AAPL,0.353329,0,False,stable-sha256-v1
SYNTH-206,US.AMAT,0.566098,0,True,stable-sha256-v1
SYNTH-207,US.AMGN,0.52629,1,False,stable-sha256-v1
SYNTH-208,US.CMCSA,0.456584,1,False,stable-sha256-v1
SYNTH-209,US.INTC,0.507504,1,False,stable-sha256-v1
SYNTH-210,US.KLAC,0.660011,1,True,stable-sha256-v1
SYNTH-211,US.PCAR,0.424487,0,False,stable-sha256-v1
SYNTH-212,US.CTAS,0.342137,1,False,stable-sha256-v1
SYNTH-213,US.PAYX,0.361742,0,False,stable-sha256-v1
SYNTH-214,US.LRCX,0.358405,1,False,stable-sha256-v1
SYNTH-215,US.ADSK,0.358819,1,False,stable-sha256-v1
SYNTH-216,US.ROST,0.583996,0,True,stable-sha256-v1
SYNTH-217,US.MNST,0.387936,1,False,stable-sha256-v1
SYNTH-218,US.MSFT,0.447638,1,False,stable-sha256-v1
SYNTH-219,US.ADBE,0.632145,1,True,stable-sha256-v1
SYNTH-220,US.FAST,0.477025,0,False,stable-sha256-v1
SYNTH-221,US.CSCO,0.374313,0,False,stable-sha256-v1
SYNTH-222,US.REGN,0.542344,0,False,stable-sha256-v1
SYNTH-223,US.IDXX,0.656676,0,True,stable-sha256-v1
SYNTH-224,US.VRTX,0.648981,1,True,stable-sha256-v1
SYNTH-225,US.ODFL,0.549551,1,False,stable-sha256-v1
SYNTH-226,US.QCOM,0.565442,0,True,stable-sha256-v1
SYNTH-227,US.GILD,0.536121,1,False,stable-sha256-v1
SYNTH-228,US.SNPS,0.488195,0,False,stable-sha256-v1
SYNTH-229,US.SBUX,0.51229,1,False,stable-sha256-v1
SYNTH-230,US.INTU,0.608994,1,True,stable-sha256-v1
SYNTH-231,US.MCHP,0.704094,0,True,stable-sha256-v1
SYNTH-232,US.ORLY,0.620755,0,True,stable-sha256-v1
SYNTH-233,US.COST,0.594754,1,True,stable-sha256-v1
SYNTH-234,US.CPRT,0.403356,1,False,stable-sha256-v1
SYNTH-235,US.ASML,0.670553,0,True,stable-sha256-v1
SYNTH-236,US.TTWO,0.395139,1,False,stable-sha256-v1
SYNTH-237,US.AMZN,0.42652,1,False,stable-sha256-v1
SYNTH-238,US.MSTR,0.471454,1,False,stable-sha256-v1
SYNTH-239,US.NVDA,0.3841,0,False,stable-sha256-v1
SYNTH-240,US.BKNG,0.729981,1,True,stable-sha256-v1
SYNTH-241,US.ISRG,0.635748,0,True,stable-sha256-v1
SYNTH-242,US.MRVL,0.580567,0,True,stable-sha256-v1
SYNTH-243,US.ADI,0.419336,1,False,stable-sha256-v1
SYNTH-244,US.AEP,0.563778,1,True,stable-sha256-v1
SYNTH-245,US.AMD,0.487813,0,False,stable-sha256-v1
SYNTH-246,US.ADP,0.448218,0,False,stable-sha256-v1
SYNTH-247,US.CDNS,0.64298,0,True,stable-sha256-v1
SYNTH-248,US.CSX,0.476247,0,False,stable-sha256-v1
SYNTH-249,US.HON,0.658162,1,True,stable-sha256-v1
SYNTH-250,US.MAR,0.52779,0,False,stable-sha256-v1
SYNTH-251,US.MU,0.35057,0,False,stable-sha256-v1
SYNTH-252,US.XEL,0.500494,0,False,stable-sha256-v1
SYNTH-253,US.EXC,0.717423,0,True,stable-sha256-v1
SYNTH-254,US.PEP,0.432485,0,False,stable-sha256-v1
SYNTH-255,US.ROP,0.531534,1,False,stable-sha256-v1
SYNTH-256,US.TER,0.704545,0,True,stable-sha256-v1
SYNTH-257,US.TXN,0.435581,1,False,stable-sha256-v1
SYNTH-258,US.WDC,0.657063,0,True,stable-sha256-v1
SYNTH-259,US.WMT,0.592266,1,True,stable-sha256-v1
SYNTH-260,US.AXON,0.689572,0,True,stable-sha256-v1
SYNTH-261,US.MDLZ,0.438381,1,False,stable-sha256-v1
SYNTH-262,US.NFLX,0.659147,0,True,stable-sha256-v1
SYNTH-263,US.STX,0.359559,1,False,stable-sha256-v1
SYNTH-264,US.ALNY,0.541052,0,False,stable-sha256-v1
SYNTH-265,US.GOOGL,0.734465,1,True,stable-sha256-v1
SYNTH-266,US.MPWR,0.440536,1,False,stable-sha256-v1
SYNTH-267,US.DXCM,0.625979,1,True,stable-sha256-v1
SYNTH-268,US.TMUS,0.34577,0,False,stable-sha256-v1
SYNTH-269,US.MELI,0.449527,1,False,stable-sha256-v1
SYNTH-270,US.KDP,0.400105,0,False,stable-sha256-v1
SYNTH-271,US.NBIS,0.51513,0,False,stable-sha256-v1
SYNTH-272,US.AVGO,0.607872,0,True,stable-sha256-v1
SYNTH-273,US.FTNT,0.541154,0,False,stable-sha256-v1
SYNTH-274,US.TSLA,0.686046,0,True,stable-sha256-v1
SYNTH-275,US.NXPI,0.380035,1,False,stable-sha256-v1
SYNTH-276,US.FANG,0.63016,1,True,stable-sha256-v1
SYNTH-277,US.META,0.341235,0,False,stable-sha256-v1
SYNTH-278,US.PANW,0.556452,0,False,stable-sha256-v1
SYNTH-279,US.WDAY,0.587008,0,True,stable-sha256-v1
SYNTH-280,US.GOOG,0.330129,0,False,stable-sha256-v1
SYNTH-281,US.PYPL,0.627102,0,True,stable-sha256-v1
SYNTH-282,US.SHOP,0.696481,1,True,stable-sha256-v1
SYNTH-283,US.KHC,0.521476,0,False,stable-sha256-v1
SYNTH-284,US.LITE,0.661052,0,True,stable-sha256-v1
SYNTH-285,US.CCEP,0.672306,0,True,stable-sha256-v1
SYNTH-286,US.BKR,0.703399,1,True,stable-sha256-v1
SYNTH-287,US.PDD,0.361668,1,False,stable-sha256-v1
SYNTH-288,US.CRWD,0.571709,0,True,stable-sha256-v1
SYNTH-289,US.DDOG,0.491561,1,False,stable-sha256-v1
SYNTH-290,US.RKLB,0.463697,0,False,stable-sha256-v1
SYNTH-291,US.PLTR,0.50037,0,False,stable-sha256-v1
SYNTH-292,US.ABNB,0.42785,1,False,stable-sha256-v1
SYNTH-293,US.DASH,0.631521,1,True,stable-sha256-v1
SYNTH-294,US.APP,0.371791,1,False,stable-sha256-v1
SYNTH-295,US.CEG,0.547738,1,False,stable-sha256-v1
SYNTH-296,US.WBD,0.453017,1,False,stable-sha256-v1
SYNTH-297,US.GEHC,0.716592,1,True,stable-sha256-v1
SYNTH-298,US.LIN,0.599381,1,True,stable-sha256-v1
SYNTH-299,US.ARM,0.689414,0,True,stable-sha256-v1
SYNTH-300,US.TRI,0.622609,0,True,stable-sha256-v1
