code,name,first_date,last_date,rows,adjustment,source_url
US.CSX,CSX Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.TRI,Thomson Reuters Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.TER,"Teradyne, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.WMT,Walmart Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.APP,Applovin Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AXON,"Axon Enterprise, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AMZN,"Amazon.com, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PCAR,PACCAR Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AMD,"Advanced Micro Devices, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.RKLB,Rocket Lab Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CSCO,"Cisco Systems, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.WBD,"Warner Bros. Discovery, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.NVDA,NVIDIA Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.GILD,"Gilead Sciences, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.KDP,Keurig Dr Pepper Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.DDOG,"Datadog, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CEG,Constellation Energy Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MSFT,Microsoft Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.FANG,"Diamondback Energy, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.DASH,"DoorDash, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.EXC,Exelon Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AMGN,Amgen Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.HON,Honeywell International Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ARM,Arm Holdings plc,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PLTR,Palantir Technologies Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PDD,PDD Holdings Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AEP,"American Electric Power Company, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.TSLA,"Tesla, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.INTU,Intuit Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.GEHC,GE HealthCare Technologies Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CDNS,"Cadence Design Systems, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ADSK,"Autodesk, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ALAB,"Astera Labs, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.DXCM,"DexCom, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.SHOP,Shopify Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ASML,ASML Holding N.V.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.LRCX,Lam Research Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PEP,"PepsiCo, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CRWD,"CrowdStrike Holdings, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.FER,Ferrovial N.V.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.SNPS,"Synopsys, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MU,"Micron Technology, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.FTNT,"Fortinet, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ODFL,"Old Dominion Freight Line, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PYPL,"PayPal Holdings, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MNST,Monster Beverage Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ADI,"Analog Devices, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.WDC,Western Digital Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ROST,"Ross Stores, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.GOOGL,Alphabet Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.NXPI,NXP Semiconductors N.V.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CPRT,"Copart, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ROP,"Roper Technologies, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.HONA,Honeywell Aerospace Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PANW,"Palo Alto Networks, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CMCSA,Comcast Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.EA,Electronic Arts Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.KLAC,KLA Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.TXN,Texas Instruments Incorporated,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.IDXX,"IDEXX Laboratories, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.TTWO,"Take-Two Interactive Software, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.SBUX,Starbucks Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CTAS,Cintas Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.WDAY,"Workday, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.XEL,Xcel Energy Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MDLZ,"Mondelez International, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.FAST,Fastenal Company,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.INTC,Intel Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.STX,Seagate Technology Holdings PLC,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.VRTX,Vertex Pharmaceuticals Incorporated,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MCHP,Microchip Technology Incorporated,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.BKNG,Booking Holdings Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
